G1	G83	-
G2	G50	+
G3	G87	-
G4	G92	-
G5	G36	+
G6	G46	+
G7	G27	-
G8	G59	+
G9	G94	+
G10	G48	+
G11	G67	+
G12	G22	-
G13	G14	-
G14	G63	+
G15	G66	-
G16	G47	-
G17	G18	+
G18	G69	+
G19	G93	-
G20	G86	-
G21	G7	-
G22	G57	+
G23	G15	+
G24	G72	+
G25	G5	+
G26	G38	-
G27	G23	+
G28	G61	+
G29	G31	-
G30	G51	-
G31	G97	-
G32	G88	+
G33	G1	-
G34	G79	-
G35	G81	-
G36	G96	-
G37	G29	+
G38	G90	+
G39	G33	-
G40	G65	+
G41	G32	-
G42	G11	-
G43	G39	+
G44	G68	-
G45	G58	-
G46	G73	-
G47	G3	-
G48	G100	+
G49	G13	+
G50	G64	-
G51	G98	-
G52	G78	-
G53	G52	+
G54	G44	-
G55	G56	-
G56	G19	-
G57	G34	-
G58	G89	+
G59	G45	+
G60	G37	-
G61	G60	-
G62	G43	+
G63	G85	+
G64	G25	+
G65	G35	+
G66	G75	-
G67	G62	+
G68	G28	+
G69	G54	+
G70	G9	+
G71	G77	-
G72	G49	+
G73	G17	-
G74	G84	+
G75	G55	+
G76	G12	-
G77	G71	-
G78	G95	+
G79	G26	-
G80	G70	+
G81	G91	+
G82	G4	-
G83	G2	+
G84	G53	-
G85	G20	-
G86	G6	+
G87	G16	+
G88	G76	+
G89	G42	+
G90	G21	+
G91	G24	+
G92	G99	+
G93	G82	-
G94	G30	+
G95	G40	+
G96	G41	-
G97	G10	+
G98	G74	-
G99	G8	+
G100	G80	+
