"Time"	G1	G70	G2	G6	G3	G7	G4	G85	G5	G52	G39	G93	G8	G30	G9	G99	G10	G42	G11	G50	G12	G13	G14	G38	G15	G91	G16	G17	G84	G18	G65	G19	G34	G20	G21	G76	G22	G66	G23	G95	G24	G94	G25	G71	G26	G97	G27	G73	G28	G29	G56	G31	G55	G32	G33	G72	G37	G35	G90	G36	G75	G40	G43	G41	G81	G96	G44	G48	G45	G61	G46	G47	G87	G49	G80	G51	G62	G58	G53	G86	G54	G64	G57	G59	G60	G92	G63	G67	G100	G68	G69	G88	G74	G89	G77	G78	G79	G82	G83	G98

0	0.4721301	0.1186698	0.7450538	0.5056316	0.0961580	0.1494386	0.9874114	0.1996001	0.0446205	0.9862187	0.3453235	0.0689523	0.0268017	0.1470304	0.5233642	0.7756517	0.5028709	0.9104166	0.8767526	0.5532377	0.0256488	0.3911373	0.3952237	0.2300354	0.0237867	0.0927182	0.9866682	0.5944246	0.0481358	0.7536507	0.4091974	0.5911167	0.0621720	0.9193237	0.9900691	0.6166608	0.1565298	0.4871532	0.1183795	0.9838711	0.0877308	0.9437528	0.9345231	0.8811608	0.2025319	0.9101203	0.9802714	0.5811022	0.5349318	0.9153543	0.2170284	0.8555716	0.4947178	0.9805801	0.6988937	0.2012896	0.0847380	0.9882995	0.8786013	0.6484211	0.6374635	0.9191055	0.4456816	0.5611957	0.0524900	0.7829063	0.5379163	0.7351946	0.2839561	0.9795249	0.9905702	0.6747254	0.4127836	0.5807839	0.9301504	0.8429385	0.2670176	0.9857664	0.5936125	0.3061803	0.3547154	0.1117502	0.8676908	0.5245184	0.1686508	0.3030606	0.9875367	0.3813846	0.9584799	0.9629335	0.7946050	0.4797880	0.6328165	0.4930066	0.4005547	0.0113789	0.4346214	0.9841427	0.9904777	0.4944698
50	0.5106950	0.5044217	0.9153936	0.6288983	0.6539864	0.7847029	0.9957766	0.1539718	0.0482561	0.4951655	0.3325274	0.0205365	0.0344767	0.1451296	0.4821732	0.9239174	0.2784858	0.8951905	0.8791611	0.5488996	0.0200358	0.3950085	0.5821921	0.2737018	0.0059674	0.0892198	0.9866356	0.5951189	0.0197344	0.7566598	0.4099381	0.5881000	0.0643723	0.6089286	0.6167806	0.6021358	0.1569803	0.4914190	0.1174422	0.9835344	0.0835809	0.9457658	0.9368680	0.8831132	0.2066993	0.8102011	0.9743470	0.7661816	0.5003658	0.9180972	0.0915011	0.9267523	0.5999876	0.9864891	0.2125286	0.2646101	0.1938058	0.9888241	0.8737777	0.6972947	0.4575879	0.9149189	0.4389370	0.5652018	0.0489908	0.7877074	0.5418124	0.7337086	0.2860187	0.9824300	0.9929447	0.2538391	0.1291439	0.3326491	0.9063995	0.8464124	0.2637994	0.9399793	0.6110876	0.3047218	0.3529394	0.4603851	0.7656351	0.5204259	0.1880868	0.2385330	0.9908693	0.3883485	0.9558087	0.9604045	0.7885805	0.7101578	0.6284082	0.7929873	0.3886753	0.0117149	0.5389393	0.9772321	0.9900564	0.4947156
100	0.6070513	0.6481105	0.9711387	0.7390524	0.7523210	0.9443091	0.9941855	0.1386137	0.0652623	0.3191461	0.3014765	0.0110715	0.0965769	0.1567740	0.3857099	0.9709256	0.2323460	0.8425137	0.8712040	0.5506232	0.0143086	0.3893241	0.6141517	0.3267898	0.0074508	0.0912300	0.9664799	0.6035914	0.0131990	0.7725676	0.4123987	0.5900742	0.0614560	0.5054921	0.4750387	0.5421461	0.1392885	0.4886134	0.1095073	0.9823194	0.0848189	0.9507778	0.9365407	0.8821024	0.2606462	0.8009545	0.9459634	0.8247087	0.4495661	0.9123845	0.0754441	0.9466687	0.6368978	0.9834222	0.1383355	0.4918255	0.2272922	0.9945772	0.8765979	0.7299019	0.3585541	0.9130513	0.4395885	0.5636237	0.0536699	0.7849468	0.5392100	0.7327925	0.2825657	0.9865938	0.9962847	0.1126024	0.0983331	0.2318662	0.7613692	0.8393265	0.2707354	0.9135018	0.6470553	0.2987058	0.3523753	0.5586898	0.7658207	0.5046563	0.2680315	0.2231118	0.9936528	0.3864202	0.9609889	0.9603644	0.7921186	0.7862097	0.6313153	0.8191827	0.3528396	0.0062148	0.6375119	0.9834530	0.9896325	0.4956028
150	0.7095171	0.7160986	0.9861592	0.8078254	0.7622568	0.9792698	0.9884318	0.1244490	0.1009545	0.2520986	0.2757230	0.0053058	0.1864164	0.2149130	0.3124457	0.9814674	0.2454236	0.7632197	0.8707403	0.5475123	0.0132365	0.3863298	0.6155454	0.3573241	0.0066210	0.0881797	0.9308617	0.6144077	0.0068981	0.8040994	0.4068158	0.5878611	0.0641197	0.4597876	0.4149512	0.4710169	0.1303502	0.4690693	0.0880168	0.9877935	0.0890387	0.9473703	0.9364482	0.8816028	0.4175051	0.7621408	0.9152852	0.8412453	0.4104640	0.9072826	0.0715003	0.9544948	0.6559029	0.9907568	0.1264253	0.6981362	0.2376201	0.9937006	0.8750271	0.7419898	0.2862512	0.9121096	0.4447241	0.5648562	0.0519249	0.7856216	0.5441041	0.7288773	0.2809981	0.9764974	0.9878047	0.0584102	0.0953882	0.1836534	0.5264265	0.8381887	0.2666574	0.8678560	0.6692701	0.2739590	0.3368365	0.5801290	0.7635334	0.4974109	0.3459423	0.2146870	0.9945430	0.3825218	0.9600386	0.9639520	0.7883472	0.8176732	0.6320854	0.8166200	0.3125285	0.0026081	0.6622436	0.9808789	0.9951909	0.4937609
200	0.8019347	0.7593225	0.9848528	0.8326488	0.7674711	0.9867118	0.9910222	0.1259911	0.1379004	0.2303581	0.2528617	0.0037316	0.2694849	0.3303437	0.2687035	0.9850398	0.2654286	0.7142833	0.8659804	0.5521072	0.0157257	0.3725952	0.6115043	0.3668981	0.0024798	0.0869717	0.8939861	0.6243807	0.0048917	0.8521915	0.4068557	0.5857117	0.0642001	0.4400339	0.3862814	0.4059187	0.1234361	0.4438618	0.0684177	0.9814144	0.0848536	0.9463643	0.9393332	0.8827071	0.6160553	0.6569730	0.8996405	0.8435441	0.3602931	0.9035463	0.0675146	0.9590197	0.6599981	0.9842125	0.1278265	0.7972744	0.2378724	0.9926921	0.8779025	0.7455593	0.2366611	0.9168971	0.4420335	0.5608023	0.0571145	0.7881601	0.5433955	0.7313450	0.2870357	0.9791042	0.9907997	0.0282694	0.0954487	0.1701709	0.3400024	0.8442158	0.2621425	0.8041175	0.6854006	0.2601321	0.3207994	0.5945601	0.7719054	0.4946127	0.3985690	0.2127533	0.9913755	0.3836291	0.9543648	0.9626141	0.7902048	0.8322084	0.6289616	0.8119797	0.2855781	0.0077114	0.6714419	0.9839790	0.9881787	0.4951635
250	0.8641815	0.7975436	0.9909448	0.8504788	0.7669364	0.9877183	0.9902616	0.1279548	0.1571358	0.2204737	0.2360802	0.0028610	0.3154599	0.4483637	0.2468912	0.9889184	0.3087521	0.7076714	0.8514298	0.5558444	0.0145065	0.3502432	0.6065927	0.3682361	0.0000000	0.0855619	0.8664225	0.6331693	0.0048782	0.8931320	0.3956614	0.5902015	0.0662364	0.4296326	0.3776935	0.3622312	0.1150353	0.4288663	0.0613471	0.9884009	0.0890495	0.9458107	0.9487485	0.8831109	0.7653295	0.5449099	0.8803600	0.8452870	0.2785824	0.8935747	0.0713597	0.9543042	0.6607434	0.9873696	0.1348025	0.8291683	0.2415826	0.9916959	0.8757310	0.7514890	0.2213240	0.9134844	0.4397484	0.5654938	0.0613786	0.7854168	0.5468659	0.7321690	0.2860442	0.9834943	0.9854783	0.0169714	0.0916251	0.1565111	0.2435963	0.8401064	0.2635329	0.7571985	0.6947437	0.2457378	0.2969082	0.5926844	0.7665453	0.4918996	0.4275206	0.2122441	0.9892902	0.3791321	0.9630768	0.9609584	0.7883578	0.8407907	0.6294245	0.8121868	0.2741037	0.0055842	0.6709642	0.9836920	0.9911808	0.4945335
300	0.8871136	0.8210127	0.9933973	0.8474274	0.7661880	0.9870892	0.9924552	0.1263560	0.1653931	0.2073469	0.2354786	0.0026670	0.3492898	0.5409571	0.2348073	0.9919826	0.3565485	0.7330372	0.8356840	0.5618762	0.0136067	0.3339050	0.5960554	0.3564422	0.0011383	0.0881221	0.8551043	0.6360276	0.0055712	0.9192811	0.3825722	0.5854895	0.0652008	0.4172899	0.3660434	0.3414282	0.1106203	0.4078941	0.0507553	0.9894995	0.0845370	0.9456588	0.9530636	0.8848653	0.8417156	0.4544301	0.8730313	0.8396192	0.1976269	0.8857587	0.0704236	0.9549438	0.6633365	0.9920801	0.1369305	0.8353770	0.2418606	0.9898194	0.8753951	0.7557636	0.2207413	0.9122554	0.4428762	0.5664378	0.0638878	0.7817056	0.5392259	0.7342925	0.2887201	0.9848364	0.9663727	0.0145068	0.0938627	0.1559902	0.1820785	0.8421637	0.2676774	0.7223493	0.6960672	0.2387180	0.2766057	0.5954056	0.7708974	0.4917922	0.4401700	0.2128667	0.9893567	0.3805578	0.9637292	0.9638858	0.7912029	0.8418508	0.6300689	0.8131891	0.2655713	0.0104657	0.6674527	0.9832887	0.9904594	0.4929729
350	0.9010563	0.8403361	0.9871488	0.8459067	0.7630531	0.9883503	0.9872939	0.1258228	0.1681370	0.2063347	0.2298088	0.0005442	0.3781705	0.6122037	0.2286595	0.9881795	0.3940264	0.7782548	0.8270848	0.5719179	0.0136568	0.3171183	0.5794625	0.3551115	0.0054288	0.0843126	0.8418403	0.6402428	0.0000000	0.9413511	0.3754723	0.5878799	0.0582584	0.4214798	0.3455085	0.3216123	0.1132725	0.3933222	0.0449555	0.9913306	0.0827018	0.9481338	0.9575782	0.8898404	0.8742312	0.4107576	0.8729438	0.8437645	0.1516686	0.8755074	0.0695958	0.9566683	0.6663770	0.9865325	0.1410054	0.8397381	0.2441132	0.9904383	0.8769945	0.7519073	0.2218943	0.9185061	0.4435766	0.5658150	0.0634948	0.7825248	0.5428421	0.7341980	0.2940003	0.9829009	0.9162535	0.0082215	0.0916205	0.1581706	0.1646406	0.8427625	0.2670013	0.7111277	0.6938435	0.2404815	0.2604480	0.5929526	0.7699373	0.4904224	0.4474516	0.2103746	0.9926142	0.3751266	0.9592984	0.9650862	0.7913680	0.8388874	0.6348232	0.8170858	0.2605487	0.0056962	0.6752763	0.9897495	0.9896471	0.4933681
400	0.9041842	0.8460515	0.9915264	0.8488391	0.7651490	0.9875882	0.9891589	0.1212955	0.1682190	0.2082231	0.2280684	0.0000000	0.3982761	0.6571264	0.2304495	0.9879517	0.4091632	0.8128079	0.8222742	0.5794703	0.0108824	0.2993000	0.5728685	0.3527998	0.0019132	0.0888138	0.8459737	0.6380094	0.0017960	0.9557154	0.3737297	0.5866691	0.0644174	0.4182580	0.3262544	0.3066697	0.1072376	0.3907347	0.0424941	0.9907301	0.0833188	0.9507446	0.9647878	0.8929131	0.8976838	0.3849038	0.8711908	0.8341181	0.1241437	0.8704995	0.0678554	0.9564278	0.6679535	0.9866590	0.1381666	0.8321338	0.2433913	0.9927356	0.8746235	0.7547970	0.2334390	0.9130250	0.4466661	0.5685351	0.0593886	0.7904603	0.5464474	0.7287489	0.3034275	0.9786660	0.8527780	0.0125055	0.0933554	0.1626844	0.1563083	0.8405038	0.2679790	0.6943159	0.6991244	0.2334320	0.2532646	0.5939236	0.7685537	0.4892050	0.4466869	0.2135043	0.9967435	0.3757382	0.9632571	0.9634941	0.7927172	0.8409751	0.6294051	0.8187703	0.2621689	0.0076609	0.6751297	0.9848001	0.9904815	0.4945029
